Nome,Endereço,Cidade,Avaliação,Tipos,Latitude,Longitude,Place_ID
Praça Comendador Muller,"Praça do Trab. - Centro, Americana - SP, 13465-289, Brasil","Americana, SP",4.3,"parque, ponto de interesse, estabelecimento",-227.400.935,-473.301.777,ChIJe3ZMYC2ayJQR_VATCoSHRPA
Praça dos Ipês,"Av. de Cillo, 109 - Vila Pavan, Americana - SP, 13466-550, Brasil","Americana, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-227.461.123,-473.301.436,ChIJG9LgsiebyJQRVfjUgALfLBw
Praça do Aviador,"Praça Tiradentes - Jardim Santana, Americana - SP, 13478-700, Brasil","Americana, SP",4.3,"parque, ponto de interesse, estabelecimento",-22.739.854,-4.732.524.910.000.000,ChIJdyGnQS6ayJQRR8PRfcU18hM
Parque Lagoa dos Pássaros,"R. Tiradentes - Centro, Artur Nogueira - SP, 13160-000, Brasil","Artur Nogueira, SP",4.6,"parque, ponto de interesse, estabelecimento",-225.796.285,-471.685.071,ChIJZSHTpP2MyJQRoHyBVRTXFPY
Balneário Municipal Guilherme Carlini,"Av. Luiz Spadaro Cropanize - Itamataty, Artur Nogueira - SP, 13160-000, Brasil","Artur Nogueira, SP",4.3,"atração turística, ponto de interesse, estabelecimento",-225.808.178,-471.611.933,ChIJC7Z1eB2NyJQRCy7aFlf_QP4
Pedra Da Gruta,"Artur Nogueira - SP, 13160-000, Brasil","Artur Nogueira, SP",4.6,"atração turística, ponto de interesse, estabelecimento",-225.565.383,-470.887.894,ChIJdabf6lLyyJQRgZZtexEl6i4
Rancho Lindalva,"R. Alberto Português, Artur Nogueira - SP, 13160-000, Brasil","Artur Nogueira, SP",4.5,"atração turística, ponto de interesse, estabelecimento",-225.594.391,-471.522.193,ChIJaZTzbMeNyJQRld92RVggpig
Green Camp - Centro de Lazer e Pescaria,"Rod. Vicinal Santa Rosa, km 5, s/n Vicinal Rua Limeira Chácaras Campos dos Amarais, Artur Nogueira - SP, 13160-000, Brasil","Artur Nogueira, SP",4.4,"parque de diversões, ponto de interesse, estabelecimento",-225.539.366,-471.992.905,ChIJHVTIfQqMyJQRSehuDLoL2XU
Acesso à Gruta do Carrapicho,"SP-133, Cosmópolis - SP, 13150-000, Brasil","Cosmópolis, SP",4.5,"atração turística, ponto de interesse, estabelecimento",-226.255.089,-472.301.602,ChIJEZ0zIBSOyJQRZ0aGITmfX1U
Gruta do Carrapicho,"Cosmópolis - SP, 13150-000, Brasil","Cosmópolis, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-226.253.061,-472.341.107,ChIJDyqYRu-PyJQR-ShaLJ6_q3M
Praça dos ferroviários,"R. Pres. Getúlio Vargas - Extinta Estacao Experimental de Sericultura, Cosmópolis - SP, 13150-000, Brasil","Cosmópolis, SP",4.0,"atração turística, ponto de interesse, estabelecimento",-226.438.485,-471.990.072,ChIJu9AyBVyTyJQRBfLwuHz4hAY
Caixinha Cosmópolis,"Cosmópolis - SP, 13150-000, Brasil","Cosmópolis, SP",4.8,"atração turística, ponto de interesse, estabelecimento",-226.599.954,-4.724.908,ChIJ172gMYqRyJQR_Ifs85G_KDw
Ponte Funda Cosmópolis,"Cosmópolis - SP, 13150-000, Brasil","Cosmópolis, SP",3.8,"atração turística, ponto de interesse, estabelecimento",-226.352.496,-4.723.806.889.999.990,ChIJY-rrR_aPyJQRt7x2WtHbZAk
Mirante de Cardeal,"Cardeal, Elias Fausto - SP, 13350-000, Brasil","Elias Fausto, SP",4.7,"atração turística, ponto de interesse, estabelecimento",-230.612.686,-473.082.371,ChIJNwt2UTytyJQREnYYVNzWUxk
Elias Fausto,"R. Giovanni Battista Pirelli, 5400 - Bom Retiro, Elias Fausto - SP, 13350-000, Brasil","Elias Fausto, SP",4.0,"atração turística, ponto de interesse, estabelecimento",-23.155.733,-47.406.445,ChIJH9JgAwCryJQRzoDRaUq1W9Y
Rancho Bonfim,"Elias Fausto, SP, 13350-000, Brasil","Elias Fausto, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-230.028.806,-473.855.617,ChIJUxJE0dupyJQRvCyrhMsqyfU
"Água Potável - Reabastecimento, ponto de apoio ao ciclista","Elias Fausto, SP, 13350-000, Brasil","Elias Fausto, SP",0.0,"parque, ponto de interesse, estabelecimento",-230.825.616,-473.288.826,ChIJLQGhBwCtyJQRLXl_n3RuDP8
Casa da Cultura Municipal de Elias Fausto,"R. José Borges Almeida, 90 - Elias Fausto, SP, 13350-000, Brasil","Elias Fausto, SP",4.5,"ponto de interesse, estabelecimento",-230.468.752,-473.724.296,ChIJeZqmYjOpyJQRasyT7hePm8Q
Estação Ferroviária de Cardeal,"Cardeal, Elias Fausto - SP, 13350-000, Brasil","Elias Fausto, SP",4.4,"ponto de interesse, estabelecimento",-230.606.584,-473.045.699,ChIJwwXZVu6tyJQRHl7hdrkvn-s
Nossa Prainha,"R. José Martins, 155 - Morada das Flores, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.5,"atração turística, ponto de interesse, estabelecimento",-226.367.116,-4.705.427.659.999.990,ChIJB7-f257uyJQRUAFiuUDZsro
Deck do Amor,"Alameda Maurício de Nasau, 54-84 - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"atração turística, ponto de interesse, estabelecimento",-226.314.432,-470.577.998,ChIJ96tJYLnvyJQRLaotJnx48Ks
Portal Turístico da Cidade de Holambra,"Rod. Pref. Aziz Lian, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.8,"atração turística, marco, ponto de interesse, estabelecimento",-226.322.014,-470.368.062,ChIJkeWh8eruyJQRXWwjaS5opAo
Moinho Povos Unidos,"Alameda Maurício de Nasau, 249 - centro, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"atração turística, ponto de interesse, estabelecimento",-226.232.484,-470.602.314,ChIJZzpQ1irsyJQRSrmYn6ecDJk
Boulevard Holandês,"R. Dória Vasconcelos, 28-164 - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"atração turística, restaurante, alimentação, ponto de interesse, estabelecimento",-226.322.555,-470.522.918,ChIJ_RuropvuyJQRrZwzX5zlNjI
Guarda-chuvas de Holambra,"Alameda Maurício de Nasau - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.8,"atração turística, ponto de interesse, estabelecimento",-226.278.163,-47.058.702,ChIJha9OP0ztyJQREVQWXYMdIZ0
Holambra - Circuito das Águas e Flores Paulista,"Holambra - SP, 13825-000, Brasil","Holambra, SP",4.8,"atração turística, ponto de interesse, estabelecimento",-22.637.585,-470.434.536,ChIJ6fW3dX_vyJQR6_QeEsRPCYc
Praça da Cachoeira,"R. Mário Bonano, 266 - Parque dos Ipes, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.4,"parque, ponto de interesse, estabelecimento,Cachoeira",-226.340.057,-470.605.424,ChIJ6UOcrSfsyJQRHqd9fz6l_8k
Portal do Moinho,"Alameda Maurício de Nasau, 307-349 - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"atração turística, ponto de interesse, estabelecimento",-22.623.075,-470.598.071,ChIJOYpBzyrsyJQRqakbK3eWcH4
Bloemen Park,"Sitio Laguna - Estrada Municipal HBR-155 Cx Postal 180 - Alegre, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.6,"parque, floricultura, loja, restaurante, alimentação, ponto de interesse, estabelecimento",-226.102.671,-470.561.736,ChIJF9jBOtfvyJQRIyrYAzicWW4
Cadeado do Amor,"Alameda Maurício de Nasau, 1002 - Centro, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.6,"loja, atração turística, ponto de interesse, estabelecimento",-226.314.035,-470.578.311,ChIJ6QrVMJ3uyJQRsh41K-tD36M
Parque Van Gogh,"Av. das Tulípas, 461, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.6,"parque, ponto de interesse, estabelecimento",-226.378.139,-470.522.573,ChIJjb9UXrvvyJQR0auVgpnFLpQ
Torre do Relógio,"R. Vinte e Sete, 3 - Cond Faz Duas Marias, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.3,"atração turística, ponto de interesse, estabelecimento",-226.424.886,-470.556.732,ChIJuw4YvtXvyJQRTdG7Sx_ouyw
Trevo de Acesso Holambra,"Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-226.274.101,-470.494.924,ChIJX-fxHr_vyJQRoe7SYgxObKs
Memorial do Imigrante,"R. Rota dos Imigrantes, 1246 - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.5,"atração turística, ponto de interesse, estabelecimento",-226.341.462,-470.483.591,ChIJCbr6YJfuyJQR2hAOI2Mq_rA
"Totem ""Eu amo Holambra""","Av. das Tulípas, 1246 - Jardim Holanda, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"atração turística, ponto de interesse, estabelecimento",-226.380.017,-4.705.222.149.999.990,ChIJ5ZWb2MLvyJQR6WvRJbs0Qy4
Chafariz Boulevard Holandês,"R. Rota dos Imigrantes, 103 - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-226.331.576,-47.051.962,ChIJKVFyIC7vyJQR-MnejWMHfo4
Praça dos Coqueiros,"-566,, Av. das Tulípas, 472, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"ponto de interesse, estabelecimento",-226.381.881,-470.519.876,ChIJcWfgmZjuyJQRqCjhVUWu45o
Mural de Flores,"Alameda Maurício de Nasau, 675 - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-22.627.829,-470.585.116,ChIJnYRE9NntyJQR2wAqUZfaY5Y
Alameda do Beijo,"Alameda Maurício de Nasau, 75 - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.4,"atração turística, ponto de interesse, estabelecimento",-226.275.635,-470.582.273,ChIJ9cprU_fvyJQRUQQK0oGIUNs
Real Receptivo Holambra,"CENTRO (IN LOCO DE FINAIS DE SEMANA E SOB AGENDAMENTO DURANTE A SEMANA - R. Mário Bonano, 1498 - Parque Res. Imigrantes, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.5,"ponto de interesse, estabelecimento",-226.234.936,-470.629.578,ChIJn_swKivsyJQRNmjXvdNAvyE
Parque Cidade das Crianças,"R. Figueiras - Parque Res. Palm Park, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.3,"ponto de interesse, estabelecimento",-226.220.774,-470.590.869,ChIJ1Y7n8nrtyJQRO1VNApIoMvs
Macena Flores,"R. Campo das Palmas, 1465-1641, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"ponto de interesse, estabelecimento",-22.613.718,-470.510.292,ChIJP86ltXvuyJQRGPJ-HgSpP5Y
Museu Histórico de Holambra,"Alameda Maurício de Nassau, 894 - centro, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.7,"museu, ponto de interesse, estabelecimento",-226.298.685,-47.059.029,ChIJr52UOyjsyJQRaUh14RBVIEY
Praça do Divino Espírito Santo,"Alameda Maurício de Nasau - Centro, Holambra - SP, 13825-000, Brasil","Holambra, SP",5.0,"parque, ponto de interesse, estabelecimento",-226.271.748,-470.590.222,ChIJe-zOg4ntyJQRKCH359QpQa4
"Praça ""Bento Euzébio Tobias - Bentão""","Alameda Maurício de Nasau - Secção A, Holambra - SP, 13825-000, Brasil","Holambra, SP",4.8,"parque, ponto de interesse, estabelecimento",-226.264.927,-470.592.757,ChIJSwWXWqvtyJQRMNOToDcmwQc
Parque Socioambiental Irmã Dorothy Stang,"R. Manoel Antônio da Silva, 415 - Jardim Sao Benedito, Hortolândia - SP, 13185-331, Brasil","Hortolândia, SP",4.6,"atração turística, parque, ponto de interesse, estabelecimento",-228.964.397,-471.694.568,ChIJ7e83kVG4yJQR_OiChjPXhfw
Parque Socioambiental Remanso das Águas,"Estr. Mun. Sabrina Batista de Camargo, 477 - Parque dos Pinheiros, Hortolândia - SP, 13186-033, Brasil","Hortolândia, SP",4.0,"parque, atração turística, ponto de interesse, estabelecimento",-228.721.211,-471.966.403,ChIJtTG0GUe5yJQRBvHBmpIEy24
Parque Socioambiental Chico Mendes,"Av. Olívio Franceschini, S/N - Centro, Hortolândia - SP, 13183-091, Brasil","Hortolândia, SP",4.3,"parque, atração turística, ponto de interesse, estabelecimento",-228.654.193,-472.213.214,ChIJgQNJDge8yJQRVUj-u3UlGXc
Lago da Fé,"R. Alzira Bosco Rosolen, 65 - Lot. Adventista Campineiro, Hortolândia - SP, Brasil","Hortolândia, SP",4.5,"parque, ponto de interesse, estabelecimento",-228.858.492,-472.130.306,ChIJvQ7SSba7yJQRlUwLCdBQ3q4
Parque Ecológico Santa Clara,"R. Cuba, Hortolândia - SP, 13186-340, Brasil","Hortolândia, SP",4.7,"parque, ponto de interesse, estabelecimento",-228.898.917,-471.991.193,ChIJW2YAmHO5yJQRjKH_yyrurMA
Parque Socioambiental Lago da Fé,"Av. Joaquim Martarolli, Hortolândia - SP, 13186-624, Brasil","Hortolândia, SP",4.7,"parque, ponto de interesse, estabelecimento",-228.779.988,-4.721.497.129.999.990,ChIJc01Su5C7yJQROCSdNzSd3Zs
Praça de Esporte Lago da Fé Hortolândia,"Av. Joaquim Martarolli, Hortolândia - SP, 13186-624, Brasil","Hortolândia, SP",4.9,"parque, ponto de interesse, estabelecimento",-22.878.626,-472.147.466,ChIJCYHK73q7yJQRFK1Zs-IrC5w
Praça dos Cataventos,"Hortolândia - SP, Brasil","Hortolândia, SP",5.0,"parque, ponto de interesse, estabelecimento",-228.859.554,-472.113.355,ChIJQcS-NNK5yJQRxP4vfCOl5O0
Parque Ecológico De Indaiatuba,"Av. Eng. Fábio Roberto Barnabé, S/N - Vila Sfeir, Indaiatuba - SP, 13330-315, Brasil","Indaiatuba, SP",4.7,"parque, atração turística, ponto de interesse, estabelecimento",-231.314.174,-472.377.153,ChIJ6yqidvJMz5QRWkR89hKcuNY
Museu da Água de Indaiatuba,"R. do Museu, 205 - Tombadouro, Indaiatuba - SP, 13338-790, Brasil","Indaiatuba, SP",4.7,"museu, atração turística, parque, ponto de interesse, estabelecimento",-230.843.706,-4.718.183.759.999.990,ChIJC94UzSxLz5QRXR48GvlQorc
Museu Municipal Antônio Reginaldo Geiss,"R. Pedro Gonçalves, 477 - Centro, Indaiatuba - SP, 13330-210, Brasil","Indaiatuba, SP",4.6,"museu, atração turística, ponto de interesse, estabelecimento",-230.909.744,-472.196.944,ChIJSwMrT1GzyJQR8RjtwJQ4xfU
Museu Ferroviário,"Praça Newton Prado, s/n - Jardim Pompeia, Indaiatuba - SP, 13330-170, Brasil","Indaiatuba, SP",4.6,"atração turística, museu, ponto de interesse, estabelecimento",-230.920.962,-472.167.185,ChIJs1pnzFWzyJQRLrLf4iMUGtI
Parque do Mirim - Prefeito Romeu Zerbini,"Estr. Dr. Rafael Elias José Aun, km 5, Indaiatuba - SP, Brasil","Indaiatuba, SP",4.7,"parque, ponto de interesse, estabelecimento",-230.364.409,-47.203.337,ChIJ49EeJVS1yJQRX1cvVpQ5Hek
Monumento,"R. Quinze de Novembro, 989 - Centro, Indaiatuba - SP, 13330-070, Brasil","Indaiatuba, SP",0.0,"atração turística, ponto de interesse, estabelecimento",-230.767.405,-472.099.666,ChIJm2Lv9vO1yJQRTcyybw8PpJU
Passarela Estaiada,"Jardim São Francisco, Indaiatuba - SP, 13345-705, Brasil","Indaiatuba, SP",0.0,"atração turística, ponto de interesse, estabelecimento",-231.066.636,-472.286.066,ChIJpWUNY2JNz5QRTPwG8gvDHIw
Parque Corolla,"R. Seraphin Gilberto Candello, s/n - Jardim Morada do Sol, Indaiatuba - SP, 13348-332, Brasil","Indaiatuba, SP",4.2,"parque, atração turística, ponto de interesse, estabelecimento",-231.312.774,-472.420.615,ChIJcRY2EO9Mz5QRopYRCDNNQFE
Ruína da Ponte Férrea,"Jardim Esplanada, Indaiatuba - SP, 13345-705, Brasil","Indaiatuba, SP",4.3,"atração turística, ponto de interesse, estabelecimento",-230.890.056,-472.243.915,ChIJwfWhKvazyJQRc_IEAO19bm0
Bosque das Primaveras,"Jardim Esplanada, Indaiatuba - SP, 13345-705, Brasil","Indaiatuba, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-230.873.652,-472.245.077,ChIJEfIDA2azyJQRzpFwR8wCiRc
Floresta Parque,"R. Martinho Lutero - Jardim Morada do Sol, Indaiatuba - SP, 13348-074, Brasil","Indaiatuba, SP",4.4,"parque, atração turística, ponto de interesse, estabelecimento",-231.239.517,-472.475.254,ChIJdyOj2t1Mz5QR-XfRNwAe0BU
Parque Temático,"Av. Eng. Fábio Roberto Barnabé, 4015 - Jardim Monte Verde, Indaiatuba - SP, 13348-860, Brasil","Indaiatuba, SP",4.7,"parque, atração turística, ponto de interesse, estabelecimento",-231.017.551,-472.287.598,ChIJV8EEnrRMz5QRbKXgu63n9T4
Parque da Criança,"Av. Eng. Fábio Roberto Barnabé, 3379 - Jardim do Vale 2, Indaiatuba - SP, 13345-755, Brasil","Indaiatuba, SP",4.7,"parque de diversões, parque, ponto de interesse, estabelecimento",-231.014.637,-472.267.563,ChIJXfxZG7NMz5QREBCtud7XdY8
Mina do Barco,"Jardim São Francisco - Jardim Adriana, Indaiatuba - SP, 13345-610, Brasil","Indaiatuba, SP",0.0,"atração turística, ponto de interesse, estabelecimento",-231.050.098,-472.280.718,ChIJ_97AHQBNz5QREi4ap-cxZ70
Parque Ecológico do Jardim Regente,"R. José Milanesi - Jardim Reg., Indaiatuba - SP, Brasil","Indaiatuba, SP",4.5,"parque, ponto de interesse, estabelecimento",-230.697.866,-471.968.241,ChIJo4r6e5W0yJQREMKjoHxOacI
Parque Ecológico Prefeito Dr. Clain Ferrari,"Av. Eng. Fábio Roberto Barnabé - Chácara Areal, Indaiatuba - SP, 13331-005, Brasil","Indaiatuba, SP",4.8,"parque, ponto de interesse, estabelecimento",-230.776.754,-47.217.923,ChIJqXP4PV6zyJQR5KNiTKBVZcw
Cocheira CS,"R. Ariovaldo Pinto, 219 - Colinas I, Indaiatuba - SP, 13332-886, Brasil","Indaiatuba, SP",0.0,"atração turística, ponto de interesse, estabelecimento",-23.057.929,-472.333.857,ChIJd8U2xwCzyJQRjGR4FDnanCk
Parque das Frutas,"R. Nakaji Gomazako, 29-91 - Vila Homero, Indaiatuba - SP, 13338-650, Brasil","Indaiatuba, SP",4.7,"parque, ponto de interesse, estabelecimento",-230.866.712,-471.893.729,ChIJs6rarsy0yJQRNMfl4-jQCQE
Parque Ecológico do Buru,"Av. Manoel Ruz Peres, s/n - Bairro Campo Bonito, Indaiatuba - SP, 13348-855, Brasil","Indaiatuba, SP",4.6,"parque, ponto de interesse, estabelecimento",-231.037.223,-472.661.873,ChIJFesQvi-zyJQRGw3YKkTcTug
Turismo Rural Receptivo em Indaiatuba,"Avenida Josue Ferreira Da Silva, 13 ,Bloco E-Ap 1 1, Indaiatuba - SP, 13349-125, Brasil","Indaiatuba, SP",4.7,"agência de viagens, ponto de interesse, estabelecimento",-231.209.686,-472.534.329,ChIJNSunxrlNz5QRjPdT0h60KLM
Parque Ecológico Prefeito Dr. Clain Ferrari,"Alça Nilson Cardoso de Carvalho - Jardim Monte Verde, Indaiatuba - SP, 13345-705, Brasil","Indaiatuba, SP",4.9,"parque, ponto de interesse, estabelecimento",-231.036.153,-4.722.818.609.999.990,ChIJ8aTD7bNMz5QRNOyg2A6huTo
Parque dos Lagos,"R. Eduardo Tozi, s/n - Vila Doze de Setembro I, Jaguariúna - SP, 13912-572, Brasil","Jaguariúna, SP",4.6,"atração turística, parque, ponto de interesse, estabelecimento",-226.862.669,-469.844.168,ChIJRw-W3HboyJQRIXXGkCga6mQ
Maria Fumaça Jaguariúna - Campinas,"707, Rod. João Beira, 475 - Centro, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.6,"atração turística, museu, ponto de interesse, estabelecimento",-227.046.474,-469.924.521,ChIJxzDHfBDoyJQRr27EbhzzuB0
Parque Santa Maria,"R. José Alves Guedes, 1003 - Jardim Sonia, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.6,"parque, ponto de interesse, estabelecimento",-226.990.269,-469.877.579,ChIJBYcBhg7oyJQRNy6KBGS_z7U
Centro Cultural,"R. Amazonas, 4 - Centro, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.6,"atração turística, ponto de interesse, estabelecimento",-227.044.764,-469.927.049,ChIJAZYa3xDoyJQRSCRuGvzojZg
Jaguariúna - Circuito das Águas e Flores Paulista,"Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.8,"atração turística, ponto de interesse, estabelecimento",-227.001.892,-469.788.006,ChIJcXa_TbjnyJQRgBmBsNs-Ymk
Roteiro Turismo e Diversão,"Jardim Santa Mercedes, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",3.0,"atração turística, ponto de interesse, estabelecimento",-22.683.922,-469.846.601,ChIJkX7QaE7pyJQR3OST2L5Clpg
Estação Ferroviária de Jaguariúna,"Rod. João Beira, 475-707 - Centro, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.7,"museu, atração turística, ponto de interesse, estabelecimento",-227.046.575,-469.924.256,ChIJqZWXiRDoyJQRT5VXOKSqzIQ
Parque Menegon,"R. Francisco C Viana, 2-104 - Vila Sao Jose, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.3,"parque, ponto de interesse, estabelecimento",-226.778.906,-469.835.381,ChIJOVxM0H7oyJQRENv0oLAmaN8
Parque Luiz Barbosa,"R. José Bonifácio, 100-236 - Condomínio Água Verde, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.4,"parque, ponto de interesse, estabelecimento",-226.963.873,-469.871.376,ChIJ8xnMWQzoyJQRoGWyHPU2TCk
Naga Cable Park,"Av. Pacífico Moneda, 349 - Jardim Imperial, Jaguariúna - SP, 13914-552, Brasil","Jaguariúna, SP",4.6,"atração turística, parque de diversões, ponto de interesse, estabelecimento",-226.753.181,-469.777.681,ChIJKwYD3wXoyJQRacnTaNxnJGE
Parque Benedito Bergamasco,"R. Pedro Venturine, 13 - Nova Jaguariúna, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.2,"parque, ponto de interesse, estabelecimento",-227.122.195,-4.698.303.809.999.990,ChIJk8POYqrCyJQRpCvpqST3fI0
Monumento Touro Indomável,"Rod. João Beira, 3320 - Novo Jaguari, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.0,"atração turística, ponto de interesse, estabelecimento",-227.051.574,-4.699.128.400.000.000,ChIJV8vjOwDpyJQRk-tpDqFn9vg
Estação Maria Fumaça,"Novo Jaguari, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.7,"estação ferroviária, atração turística, estação de transporte, ponto de interesse, estabelecimento",-227.047.105,-469.925.363,ChIJGQYFfRDoyJQROB8YO3b_Xok
Monumento Jaguar Negro,"R. Cândido Bueno, 707 - Centro, Jaguariúna - SP, 13903-033, Brasil","Jaguariúna, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-227.075.984,-469.880.513,ChIJi9VlRwDpyJQRTR5FtZg7F9A
Parque José Theodoro de Lima,"R. Jose Fernandes, s/n - Jardim Cruzeiro do Sul, Jaguariúna - SP, 13917-156, Brasil","Jaguariúna, SP",3.9,"parque, ponto de interesse, estabelecimento",-226.936.327,-470.037.007,ChIJwRGE8enpyJQR_ztw9_7RUSM
Parque José Pires Junior,"Av. Francisco Sales Píres, 76-182 - Parque Florianopolis, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.2,"parque, ponto de interesse, estabelecimento",-22.705.497,-4.696.235,ChIJCYUkk1_dyJQRLA1ZdllPm1U
Praça dos Imigrantes,"R. Júlia Calhau Rodrigues, 426 - Nova Jaguariúna, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",2.0,"parque, ponto de interesse, estabelecimento",-227.089.428,-469.828.998,ChIJKfS4UwDpyJQRaN_f-oCRd3I
Memorial Padre Gomes - Casa da Memória de Jaguariúna,"R. Alfredo Bueno, 1206 - Centro, Jaguariúna - SP, 13820-000, Brasil","Jaguariúna, SP",4.2,"museu, ponto de interesse, estabelecimento",-227.055.908,-469.854.533,ChIJR54X-wToyJQR6XB6i-wOCg0
